리뷰,평점
"한옥마을이라서 한옥만 있다고 생각했는데, 그렇지는 않네요.
골목마다 개성있는 벽화나 꽃, 나무, 그리고 동물들까지 아기자기한 것이 좋았어요.
다만, 너무 카페, 음식점, 기념품가게만 몰려있는 것 같아요.
좀더 문화체험 많이 할 수 있다면 좋겠어요.",4.0
"여러번 한옥마을을 가 보았어요. 갈때마다 조금씩 달라지는 모습인데 아마추어들의 다체로운 공연들이 구경거리에요, 그런데 한복 대여점이 너무 많아 구전적인 전주의 느낌을 흐리게 하는것 같아요. 공에품 전시장도 들러보세요. 좀 비싼듯 하지만 수공으로 만든 예쁜 물건들이 다른곳에는 보기 어려워요.",4.0
"한옥마을이라지만, 주차도 완전 불편하고 그냥 외국인들 한복입고 다니는 상가촌 같아요. 너무 상업화된 것도 같고, 관광객도 많아서 또 가고싶은 생각은 별로 안 듭니다.",3.0
"전주에서 최고로 많은 관광객이 몰리는 곳입니다.
예전만큼 좋지 않다는 이야기도 많이 들리고 있지만 그래도 아직도 볼거리 먹을거리 풍부해서 하루 이틀 즐기기엔 매우 좋습니다.",5.0
"전통스런 한옥집들이 모여 큰 관광지가 된 곳
경기전을 중심으로 여러한옥들이 모여있다
각종 문화시설 식당 의류대여점들 카페들이 정말 많다 그만큼 주말에는 사람들이 정말 많은곳",4.0
5년 전에 왔을 때도 사람이 꽤 있었지만 이번에는 외국인들과 국내 관광객들이 엄청 많아 복잡했습니다. 그래도 풍경과 인프라는 괜찮았습니다. 갤러리와 카페도 참 많았습니다.,4.0
오랜만에 가족들과 한옥마을 밤정취를 느끼러 갔다. 예전에 갔을때 여러 길거리 음식으로만 가득하고 사람만 많았던 조금 부정적인 기억으로 별 기대 없이 갔으나 지금은 여러 수공예 악세사리와 등불 만들기 등의 여러 문화행사 그라고 가족 과 같이 참여할 수있는 행사가 열려 많이 정돈되고 발전 개선해 나가는 한옥마을을 느낄 수 있었다,5.0
"한옥마을은 자주 가는 장소입니다. 다양한 체험장소가 있긴 하지만, 실제로 하고 싶은 활동은 많지 않은 것 같습니다. 한복입기나, 투호 놀이, 난장박물관, 경기전 등이 있습니다. 주말 평일 가리지 않고 인파는 많습니다. 먹거리도 다양한 편이지만, 서울의 인사동 먹거리와 큰 차이는 없고 그냥 보통입니다.
외지인들이 한옥마을을 재방문하는 횟수는 제한적일 것 같습니다.
다만, 한옥마을 주변으로 전주의 전통적인 먹거리식당(콩나물국밥, 비밤밥, 전주막걸리, 냉면집, 분식집)이 있다는 점은 먹거리를 중시하는 여행객들의 성향에 잘 맞습니다.
앞으로, 전주한옥마을만의 콘텐츠 개발이 절실한데, 현실은 녹록하지 않을 듯 합니다. 한옥마을 상가와 시 관계자의 혁신적인 아이디어가 필요하지만, 쉬운 일이 아니죠.
멋진 한옥마을의 장관, 동서양이 어우러진 전동성당, 경기전, 향교, 오목대.. 볼거리가 많지만, 이러한 것들을 체득할 수 있도록 하는 관광요소가 필요합니다.
식당 가격은 그리 사악하진 않습니다. 파이팅!",3.0
"외국인 친구들을 데리고 방문하였습니다. 저도 전주한옥마을이 처음이라 내심 기대를 하였는데, 도착해서 저희를 반겨준 것은 근본없는 싸구려 한복대여점들과, 한옥과는 거리감이 크게 증개축한 국적불명의 건물들, 그리고 그 건물들에 즐비하게 달려 있는 흉물스러운 간판들이었습니다.
특산품을 제대로 파는 곳도, 전통의 느낌이 조금이라도 가미된 것을 파는 곳도 없어서 한국의 멋진 물건을 사려고 단단히 준비한 외국인 친구들도 실망스러워 하더군요.
한옥마을에서 마카롱을 팔고, 고로케를 팔고, 짝퉁 슈프림 가방을 팔고, 어디서든 볼 수 있는 악세서리를 파는 것을 보려고 온 것이 아닌데 말예요.",1.0
"5년 전쯤에 비해 활기는 많이 줄었지만 여전히 전주를 관광하게 하는 곳이죠.
실제로 유지되고 있는 고택들은 적고 새로 조성된 곳이지만 한옥의 매력을 느낄 수 있는곳이라 좋습니다.",3.0
"전주하면 떠오르는 장소임에도 불구하고
전주스럽지 않는 곳이 되어버려 아쉽다.
어디서나 볼 수 있는 카페들로 가득하고,
인형이나 기념품 가게
아쉽다.
외국인친구도 좀더 한옥을 알 수 있는 곳으로 알고 갔는 데
사람만 구경하고 왔다고 했다.
가게앞에 내놓은 현수막이나 입간판들이 눈엣가시처럼 느껴지는 곳.",1.0
큰 볼거리는 없지만 워낙 잘 정돈되어 있어서 관광하기에 수월합니다. 중국의 비슷한 도시를 가본 적이 있는데 전주가 깨끗하고 정갈한 느낌이라 더 매력적인 곳으로 느껴집니다.,3.0
추천을 떠나서 전주오면 그냥 가게 되는 필수코스. 젠트리피케이션의 대표적인 예로 늘 소개되어 사실 기대가 많이 깎였지만 그래도 개성넘치는 가게도 많고 여러 관광지가 몰려 있어서 좋았습니다. 숙소 잡으려면 이 근처로 하는 게 제일 싸고 교통도 좋아요.,4.0
"정말 왜 와야 하는지 모르겠다고 생각든 곳입니다.
한복 입어보러 오겠다면... 그럴 수도 있겠지만,
사람 많고 몰개성이 가득한 곳이라는 생각이 드네요.",1.0
"카페나 게하는 아직 특징 있는 곳이 남았는데
한복 빌려주는 집이 대충 한 스무군데
밥집 메뉴는 전부 떡갈비
뭔가 특색없는 거대한 스튜디오가 되어버러
좀 많이 아쉽습니다.",3.0
엄청 큰 볼거리가 있는건 아니기에 한국인들에게는 추천하지 않는다 외국인들은 한번와서 둘러보는거 정도는 나쁘지 않을 듯 하다,3.0
초기 조성 의도는 정말 좋았으니 날이 갈수록 상업적으로만 변하고 있는 한옥마을. 판매되는 음식들은 마치 야시장에서 팔것같은 흔해빠진 간식위주고 그나마 있는 음식점들은 대부분 비싸도 맛도 그닥이다. 쓰레기통 없어서 바닥엔 닭꼬치 소스들이 다럽고 다른 상인들도 짜증나는지 꼬치 반입금지인 가게들이 많다. 전반적으로 죄다 비쌈. 그래도 이런 특성화 거리가 흔치 않기에 한복입고 사진찍으며 추억을 남겨볼만하다(딱 한번쯤은) 그게 목적이라면 차라리 경주를 추천하겠지만.,1.0
"뭐.. 전주의 대표적인 관광지 라고 할수있는 곳으로서 말 그대로 한옥마을 이다.
경기전에서 나와 앞쪽으로 쭉 가다 보면 왼쪽으로 꺽으면 그곳부터 한옥마을로 들어간다

마을 자체는 그리 큰 규모가 아니라서 금방 둘러볼수 있으며 사실 놀거리나 기타 체험할만한것은 별로 없다, 또한 먹거리가 굉장히 많아서 어느정도 다 둘러봤다 싶으면 음식 체험을 생각해 볼 정도로 다양한 먹거리가 있다(뭐 보다보며 거기서 거기지만)
그리고 한옥 중간중간에 한옥을 개조한 게스트 하우스 및 숙소가 있다.",3.0
"유명세를 탄 후 특유의 분위기가 사라지고 먹자 마을이 되어버렸음.
그냥 흔한 관광지.
한옥마을의 고즈넉한 분위기는 없었음.",3.0
"특별할 것 하나 없는, 시끄러운 먹거리 장터에 불과한 느낌.
그나마 경기전과 전동성당이 있어서
한번쯤은 가볼만한 곳이라고 생각한다.",3.0
"정말 놀기 좋게 잘 구성되어있습니다.
먹을거리 넘쳐나고 놀거리는 그다지 많진 않지만 외국이나 타지에서 온사람이라면 한번쯤은 가볼만합니다. 한복입고 눈치 안보고 놀 수 있다고 생각됩니다. 모주 육전 닭꼬치 문어꼬치 철판아이스크림 여기서 돌다가 배불러서 저녁 안먹었네요 외국인 친구 오면 한번쯤 데려가보세요",4.0
한국 처음 방문하신 시댁과 남편 친구들과 함께 다녀왔습니다. 골목골목 한복 입고 데이트를 하는 젊은 커플 들이나 가족 단위로 한복을 입고 여행하는 분들을 호기심 있게 바라보시더라구요 ㅎㅎ 몇몇 간식을 파는 곳 점원분들이 표정도 너무 힘들어보이시고 손님들이 들릴 정도로 힘들다는걸 토로하셔서 조금..난감했지만 전반적으로는 나쁘지 않은 여행이었습니다.,3.0
동남아가면 야시장가면 딱 그느낌 근데.. 한옥마을이 생각보다 너무 작음..ㅠㅠ 금방 다본다는.. 먹거리만 즐비하다는 생각이 드빈다.,4.0
"예전부터 전주는 전통의 고장이라고 불려 왔습니다.
또한 음식으로는 한국에서 가장 맛있는 고장이라고 생각합니다.
일어난 전주의 특성을 가장 잘 살린 것이 한옥마을이 아닐까요?
최근에는 너무 상업화되어서 비판이 많이 있긴 합니다만 그래도 아직 재미있고 큰 비용을 들이지 않고서도 1박 또는 2박 정도의 짧은 여행지로 가장 손색이 없을 것입니다.",5.0
"흠 너무 사람이 많아서 사진찍기너무 힘듬
외국인 친구가 하는 말
창경궁이나 여기나 크게 다른점을 못느끼겠다고함
하지만 간식거리들과 이륜차타기가 너무 재밌었다고 함",4.0
"처음엔 한복도 빌려 입고, 맛있는 길거리 음식 상상하며 한옥마을에 들어갔어요. 사진 찍기엔 정말 좋아요. 제 친구들은 채식주의자라서 여기서 인기있는 음식들은 대부분 먹지 못했어요. 길거리야, 문꼬치, 닭꼬치. 구워먹는 치즈 먹었는데 소스 없이 먹으니 느끼하더라고요. 칠리 소스는 새콤매콤했어요. 가격은 삼천원. 교동 고로케 크림치즈 먹었는데 맛있었어요. 모주는 제 입맛엔 영 안 맞더군요. 전 풍년제과 유명하단 것 들어서 전주역에서 샀는데 전주 시내마다 초코파이가 있고 한옥마을에조차 있더군요. 한옥마을에서 파는 바나나 초코파이는 달아서 전 별로였어요. 한복 빌리는 것은 1-2만원 정도. 거기에 악세서리도 빌릴 수 있고 어느 가게들은 서비스로 머리 장식도 해줍니다. 교복도 빌릴수 있어요. 외국인들 정말 많고 반짝이는 풍선이나 장난감 판매상도 있습니다. 전체적으로 음식 즐기시러 가면 좋아요. 저는, 다시 방문하겠습니까? 라고 물으신다면 글쎄요, 라고 대답하려고요.",3.0
한옥마을에 수북히 많은 사람들과 음식 냄새가 나서.. 먼가 살짝 정신이 없기는 하네요. 그래도 거기서 먹었던 음식들과 쌓은 추억들은 아직도 제마음에 남아있네요.,4.0
이번이 3번째 방문인데 올수록 이쁘게 변하는것 같아요..다만 아쉬운건 음식들이 저렴하진 않아요..길거리 음식치곤 비싼편이네요..맛은 뭐 좋아요. 주차하기가 불편한게 흠이긴하네요..깔끔하고 좋아요.. 전주에 살고 싶어지네요.,4.0
"예술의 고장 전주에 오시면 관광할 곳이 매우 많습니다.
하지만 그 그중에 최고는 한옥마을일 것입니다.
너무나 유명해져서 예전만큼 깊은 맛은 없다고 합니다만 그래도 아직도 볼것 먹을것 즐길것 모두 최고라고 생각합니다.",5.0
"여길 안오고 전주에 왔다고 하는거 자체가 문제가 많은 것이다ㅏㅏㅏㅏ
하지만 한옥에서 자는건 너무나도 창렬 작은방이 7마넌이다",5.0
제가 겨울에 전주한옥마을을 다녀왔는데 정말 사람이 많았던 기억과 먹거리들이 많은게 기억이 납니다~ 그리고 전통적인 한옥의 멋짐을 볼 수 있어서 너무 좋았습니다. 하지만 점점 상업화되어가고 있는 한옥마을이라서 좀 아쉽습니다. 본래의 모습을 유지하는것도 중요한데요!,4.0
생각보다 작아서 둘러보는 시간은 얼마 안걸려요. 그게 단점이면서 장점인 것 같아요. 한옥만 보러가기엔 전주보단 경주가 더 좋은 것 같단 생각이 들었어요. 하지만 맛있는 음식이 많아서 아쉬운점이 만회가 되었습니당 ㅎㅎ,4.0
"아이들과함께 체험할 거리가 많고
날씨가 좋울때가니 어디서둔찍어도 사진이 잘 나옵니다.커피숍들도 그렇고 가게들이 한옥이라 이쁘네요",4.0
건물들이 전부 한옥이어서 색다른 곳이에요. 주말에 사람이 진짜 많아서 주차하기도 어렵고 엄청 북적거려요. 그래도 한번쯤은 가볼만해요.,3.0
비오는 날 방문했는데 그나마 사람이 적어서 나았어요 그래도 한옥마을은 언제 방문해도 좋은 것같아요 한복입고 다니시는 분들도 많으나 아가들이 한복입었을때가 제일 이쁜것같아요 ㅎ,4.0
"새로 지은 인조적인 한옥st 건물들이 늘어서있고
전부다 어우동, 선비 옷 입고 국적불명의 간식들고 인스타 사진찍기 바쁜....
몇년전만 해도 이런 분위기는 아니었는데
정말 별로였네요.
같이 간 외국인친구에게 부끄러웠습니다.",1.0
"외국인 친구랑 함께 방문했었는데요
한복입고 경기전에서 사진찍고 놀기좋고
간단한 군것질이랑 한옥에서 자는것도 할 수 있어서
좋아요 외곽에 산책할때도 풍경이 좋아요",4.0
집가는길에 전주 천년누리전주제과 들려서 비빔빵 등 왕창삼 비빔빵 현장서 시식불가해서 아쉬움 집와서 먹어보니 과연 이걸 3000 주고 살 가치가 있는지 반문함 분명 내 스타일 아님 반면 팥빵은 맛이 좋음 무난한 수준,3.0
"먹거리와 볼거리, 탈 것 들이 있고
다들 사진 찍고 있다.
언제나 사람이 많은 듯.
전주 특산물이 문어인줄",3.0
한옥마을이라는 이름에 맞지않게 그냥 특색없는 먹거리만 팔아대는 그런 곳으로 전락한지 오래되었음.,1.0
한옥거리는 멋졌지만 한옥마을의 멋을 해치는 몇몇 상점들때문에 그다지 추천하지 못하겠음. 밤에 산책했었는데 밤이 훨씬 분위기 좋습니다.,3.0
비싸지만 맛있는 간식도 많고 한복을 대여해서 예쁜사진으로 추억거리도 남길 수 있어서 좋았다. 사람이 많고 간식을 앉아서 먹을 공간이 부족한 것은 아쉬웠지만 친구들과 가볍게 여행하기에는 좋은 곳인 것 같다.,5.0
"한옥마을이 최근에 생긴게 아니고 일제시대부터 유지돼고 있는거라는점에 놀랐어요.
대부분이 상점으로 활용되고 있기는 한데 중간중간 실제 사는집(왕손)이 있더라고요.
전동스쿠터 빌려서 한바퀴 돌아보는 것도 좋았어요.
주말에 날씨 좋을때 가기도 했지만 항상 축제 분위기여서 구경만 해도 즐거웠어요.",5.0
돌아다니는 내내 눈과 입이 쉴수가 없더군요. 다만 겨울이라 날씨는 조금 추웠습니다. 유독 이날따라 날씨가 변덕스러워 보는 데에 힘이 들었으나 그래도 좋은 사진을 많이 찍을 수 있었습니다,4.0
"오랜만에 친구들과 함께 여행했습니다~!
전주 들려 군산 보고 가는 코스였는데, 많이 방문했음에도 불구하고 다시 가도 좋은 곳이었어요! 사람들은 점심 이후에 많아졌고 다들 즐거운 추억 만들려 사진 찍으시는 모습도 많이 보였구요. 안타까운 점은 제가 갔을때보다 점점 먹거리 볼거리가 줄어들었단 점이에요 겨울이어서 그런지ㅠㅠ 예전에는 플리마켓처럼 많은 분들이 계셨는데... 그래도 좋았습니다~~!",4.0
"한옥마을이라고 하기 보단 한옥음식점 테마파크라고 해야될듯
가서 사람만 미어터지게 많아서 사람만 구경하고옴",1.0
"이제는 이곳도 여는 관광지 처럼 먹거리만 가득한 곳이 되어버린듯..
그것도 지역 특색음식이 아닌 것들로..
전동차 타는 사람들까지 많이 생겨서 예전에 한적하게 산책하듯 걸을 수 있는 분위기는 더이상 볼 수 없다
한옥 구경 하려면 이젠 다른 곳을 추천한다 ㅠ",2.0
그래도 유명한 길거리 음식도 많고 볼거리도 많아서 간식 사먹으면서 거닐면 그 것도 매력이 있어요!,4.0
"커플이나 친구들이 함께 구경하기 좋은곳이고 사진도 찍기 좋은곳 입니다.
하루종일 한복 대여해서 돌아다니는 사람들이 많아서 남자들이 여자 한복을 입고 돌아다녀도 이상하지 않고 귀엽기도 한데 겨울에는 쫌 추울듯!!!
음식점, 커피숍, 주전부리 등 먹거리도 많아요~
그리 넓지가 않해서 쉬엄쉬엄 구경해도 좋을듯~",4.0
풍경이 좋고 음식도 맛있고요. 한복 입고 다니면 진짜 좋아요. 근데 겨울에 가면 못 할 듯.. 너무 추워서..ㅋㅋ,5.0
"전주 한옥 마을이 예쁘고 좋다는 소문을 접하고 갔었습니다만
가게가 너무 많고 그 가게들 때문에 한옥 마을이라는 주제가 없어지는 듯 했습니다.

유명한 맛집과 유사한 이름을 가진 음식점이 많이 있었으며 그 곳들의 평판은 좋지 않았습니다.
즉, 맛이 없습니다.
'원조'를 찾아 가시는 것을 추천합니다.

야시장은 재미있었지만 좁은 구역에 많은 노점들이 영업을 하고 대부분의 구역은
불을 끄고 장사를 하지 않고 있었습니다.
조금 더 넓은 공간을 할애하였으면 더 좋았겠다 싶었습니다.

태조 어진 박물관은 좋았습니다.
가을에 가서 그런지 단풍도 멋있었습니다.

개인적으로 서울 명동의 한옥 마을이 더 좋은 느낌을 받았습니다.",3.0
"한옥마을 먹거리 볼거리는 많아요
근데 정작 전통의 한옥마을의 정취를 느끼기는 힘들어요
상업적인 테마거리 조성 느낌!",3.0
길거리 간식 사먹다 보면 한정식 값이 나온 다는 단점이있지만...그래도 재미로 한번 방문해볼만 합니다. 사람많음주의,5.0
한복을 입은 젊은이들이며 깨끗하고 단아하게 정리된 한옥 건물들이 전주에 처음 방문한 저에게 매우 신선했습니다.,5.0
이번이 3년만의 방문인데 주변의 상점들이 상당히 많이 바뀌어 있었음. 한옥마을의 큰 틀은 변하지 않았는데 상점들이 즐비해서 조금 실망했음. 하지만 한번쯤은 방문하면 후회는 없을듯. 전체적으로 아담하고 북촌 한옥마을에 비교하면 평지라 관광하기 편함.,4.0
"한국 전통의상인 한복을 입고 전통 거리를 다닐 수 있음. 한복 대여가 종류별로 시간별로 굉장히 다양한 편이다.
최근에는 왕발통이라고 편리한 이동대여수단도 생겨서 훨씬 보기 편하고 주말에는 차없는 거리여서 나들이 하기 좋지만 관광객이 많다.",4.0
"전주라면 한옥마을이 가장 먼저 떠올라서 방문했습니다. 산책하기 좋고, 길거리 음식이 많아요.",4.0
너무 상업화 되어서 페북에 나오는 음식들만 잔뜩...줄은 엄청 길고... 하지만 다양한 한복들과 한옥을 볼수있다는 장점은 있습니다,4.0
한옥도 생각만큼 별로 없고 체험할 곳도 별로 없음.시험기간때 시간내서 가족이랑 같이 갔는데 진짜 시간 낭비나 함.,2.0
전주하면 한옥 마을이라고 할 정도죠!!! 한옥의 아름다운 모습을 볼 수 있어 좋아요~~ !!,4.0
한옥이 있어서 고풍스럽고 다양한 음식점이 있어서 좋았습니다! 길거리 음식은 현대화된 것이 많은 편이고 가게들은 전통한식을 파는 편이라서 둘 다 즐길 수 있어서 좋아요! 한복 입고 사진 찍기도 좋아요! 다만 사람이 너무 많을 때는 가지마세요!,5.0
전주 특유의 먹거리들보다는 프랜차이즈처럼 흔히 볼 수있는 먹거리들뿐이어서 아쉬웠다. 하지만 우리나라 한옥이 유지되어있어서 예뻤다,3.0
"비가와서 오래는 못 돌다다녔지만.
비가오는 날씨에도 많은 분들이 한복도 입고계시고.. 보는 재미가 쏠쏠했습니다 ㅎ
근처에 맛집도 많으니.. 들려보시길 추천합니다.",4.0
"풍남문, 경기전, 오목대, 한벽당, 향교 등 전주의 구시가를 대표하는 전통적인 건축물 일대를 한옥이 주를 이룬 테마지구로 만든 것으로, 전주에서 가장 상징적인 곳이다. 체험적인 입장에서는 걷는 시간에 크게 구애가 되지 않겠지만, 경기전, 전동성당이 개장하는 아침 9시가 지난 후부터 상가들도 열 것이며 '음식창의도시'답게 음식이 중심이 되어 유명 맛집들은 대기가 많다고 한다. 또한 한옥마을은 근래에 테마지역화된 곳이다보니 매스컴에 자주 알려져 방문이 많아지자 상업화가 많이 이루어졌다는 생각이 들며, 그럴 때는 전통적인 건물들이 문화적인 오아시스가 될 듯하다. 덕진공원을 제외한 대부분의 시설들은 부근에 위치하므로 이 일대를 둘러보는 것이 전주여행의 핵심!",4.0
전주 한옥마을이 이젠 너무 유명해서 다아실거라생각해요 먹거리도 많고 전통 한옥마을 구경하고 한복체험도 할수있어요 추천해요,4.0
"전주올때마다 한옥마을은 가요
그냥 재밌어요....
한복입고 돌아다니는 사람들도 보는재미고용,ㅋㅋ
군것질하는재미~~
하루정도 숙박하시는것도 좋아요",5.0
"한옥마을 골목 골목 걸으며
맛있는 음식도 먹고 옛모습 간직한
한옥 건물들도 구경하고
저녁이면 막걸리골목에서
하루를 마무리하고
아침 해장을 피순댓국밥으로
남부시장내 청년몰에서
아기자기한 물건들 구경하면
알찬 전주여행이 될듯합니다",5.0
주말에 가면 사람에 치여서.. 주차할곳도 잘없어용. 먹을것은 많은데 물가가 비싼편입니다. 한식이 최고..,4.0
"여름 방학 즘에는 많은 사람들이 한복을 입고 여기저기 돌아보는 사람구경 한옥마을 구경, 가을에는 낙엽들이 우수수 떨어지는 경기전을 돌아다니면 맑은 하늘과 그렇게 어울릴 수가 없어요!",4.0
"지인들이 전북 전주를 방문한다면 꼭 데려가는 곳입니다. 볼거리 먹을거리가 많고, 한복체험 등으로 더욱 더 유명해진 곳입니다.",5.0
몇년전 방문때보다 더 상업적으로 변한느낌입니다. 맛집은 많아져서 좋긴했지만 그만큼 대기도 깁니다. 8월 연꽃시즌 방문을 추천합니다,3.0
"전주는 방문할때마다 항상 좋은 기분으로 돌아가게 됩니다
요근래는 너무 관광객들이 많아져서 이전의 느낌은 믾이 시라졌지만
그래도 한옥마을만의 느낌은 있는 것 같아요",4.0
오목대를 올라가는길에 내려다본 한옥마을은 겹겹이 늘어선 한옥지붕들이 정갈하면서도 고즈넉한 분위기를 뽐내고 있었습니다. 평지에 자리해서 천천히 돌아보기에 매우 좋습니다. 다만 사람이 너무 많아요.,4.0
너무 유명해진탓에 이제는 한옥의 고즈넉한 모습은 사라진체 맛집과 상업적으로 얼룩져 버리긴했지만 광광지의 특성상어쩔수 없는부분이라고 생각도 듭니다 . 주차도 너무 힘들고 또다시 찾아가기는 망설어 집니다,3.0
계절별로 애들하고 산책하기 좋습니다. 여름과 가을에 특히 옛 정취를 느끼기에 멋진 공간입니다. 많은 분들이 방문하고 있습니다.,5.0
"내가 어렸을때 가봤던 한옥마을은 아기자기 하거나 커다란 한옥있는 그냥 동네였는데~
오랜만에 가본 한옥마을은
먹거리와 한복대여점이 반이상 차지한 곳이되었다....

먹거리도 서양 스테이크, 핫도그 등.. 왠지 한옥마을과 안맞는 어색한 상점들도 많아
조금 실망하고 돌아왔다.",3.0
항상 붐비지만 볼거리. 먹거리. 체험거리가 많은 곳입니다. 숙박업소부터 전주의 맛집들이 다 있는 곳입니다.,5.0
며칠전에 남편과 함께 한복을 입고 거닐어봤어요. 워낙 많은 관광객틈에 끼여 정신없었긴했지만 그또한 여행의 재미라 생각했어요. 한번쯤은 한복과 함께 한옥마을에서의 사진담는게 좋을거 같아요! :),5.0
연휴때 방문하긴 했지만 3년전 방문했을때에 비해 사람도 더 많아지고 점점 상업적인 색채가 짙어지는둣 싶어 좀 실망감이 컸어요.,3.0
근처 높은 층에 있는 카페에서 내려다봤는데 아름다웠어요. 한옥사이로 걸었을때와는 또 다른 느낌이었죠. 한옥사이로 걸을때는 너무 가게들이 많아서 별로였어요.,4.0
"전동성당, 경기전부근에 상점들이 과포화상태다 전동킥보드가 보도를 가로막고있고 꼬치장사들은 또 왜이리많은지. 안그래도 많은사람. 한 시간 이상 머물다간 공황장애올듯! 그나마 향교와 오목대가있어서 3점은 준다.",3.0
한옥 풍경이 아름답고 거닐만함. 그런데 너무 상점이 많고 즐길거리가 부족한 점은 아쉬움으로 남음. 한옥게스트하우스에 머무는 것을 추천함. 그러면 그냥 거니는 것보다 더 한옥을 경험해 볼 수 있음.,4.0
"여행은 엄마랑 둘이했고 예약없이 가서 한옥민박에서 잤어요.
재미난 길거리 음식이 많았는데 연휴중간에라 사람이 너무나 많았어요.

사람에 떠밀려 다녔고, 너무나 많이 개량되어서 한복으로 안 보이는 한복체험은 마음이 좀 아프더군요.",5.0
"7-8년만에 방문한 곳
여전히 방문객이 많았고 ,전에 비해 아름답고 화려한 한복을 입고 사진찍는 사람들이 많아서 눈도 즐거웠음
그러나 전과 달리 한옥마을에 실제 생활하던 주택이 없어지고 ,가게들간의 차별성이 없어진듯했음
그리고 복잡한 인파속에 전동 바이크를 탄 사람들이 많아 사고위험성이 많아 보였음
아침일찍 가면 조용히 한옥마을을 들러볼수 있을듯하고 ,실제 그러했음",3.0
중국인 여친이랑 같이 놀러왔는데여~한옥마을이 너무 좋았지만 추석연휴떄 가서 그런지 사람들이 너무 많았지만 나름 재미있었어여~~,4.0
한옥 그 자체를 보고 느끼는 곳이 아니고 그냥 겉모습만 한옥이고 실제는 식당과 꼬치구이 파는 시장입니다. 전혀 갈 필요가 없는 장소입니다.,1.0
"2004년에 여길 방문했고 이번이 두번째였다. 벌써 13년전이다.
그때는 사람이 별로 없었다. 지금처럼 정신사나운 노점상과 국적불명의 음식을 팔고 서양식속치마와 기모노의 리본이 짬뽕된 싸구려한복(고등교육도 못받은 놈들은 이것도 변화라고 지껄이는)은 없었다.
하지만 시간이 흘렀다고 과거가 미화되어서는 안된다. 근본적인 이 지역사람들의 바가지 마인드는 한결같다. 그땐 중국산 싸구려 기념품을 유리장에 전시해놓고 사진도 찍지 못하게 으름장을 놨었다. 웃긴건 거기서 팔던 그 당시 8만원짜리 편지칼을 똑같은 것으로 국립중앙박물관에서 2만원에 샀었다.
아 그리고 한옥의 조악함도 여전하다. 일제시대때 지어진 한옥이 그렇지 뭐... 부여도 관광도시화 한다고 열심히던데 제발 전주를 반면교사 삼았으면 좋겠다.",1.0
